task_id,category,screen,route,page_entry,priority,depends_on,requirements,verify,status,wave_id
API-ADMIN-SETTINGS,API,-,SCR-005,-,P0,DB-ACCESS,REQ-FUNC-077,Manual Check,TODO,W03
API-BLOCK-REPORT,API,-,SCR-004/005,-,P0,DB-ACCESS,REQ-FUNC-039; REQ-FUNC-040; REQ-FUNC-041; REQ-NF-019,E2E-MATE-AUTH,TODO,W10
API-CONTACT-DETECTION,API,-,SCR-003,-,P0,,REQ-FUNC-032,UNIT-CONTACT-DETECTION,TODO,W08
API-MATE-APPLICATIONS,API,-,SCR-004,-,P0,API-MATE-POSTS,REQ-FUNC-034; REQ-FUNC-035; REQ-FUNC-036; REQ-NF-005,"UNIT-MATE-STATE, TEST-RLS-BASIC",TODO,W09
API-MATE-POSTS,API,-,SCR-003/004/005,-,P0,DB-ACCESS; AUTH-SUPABASE-SETUP,REQ-FUNC-031; REQ-FUNC-037; REQ-FUNC-038; REQ-NF-005,"UNIT-MATE-STATE, E2E-TRAVEL-TOOLS",TODO,W03
API-OUTBOUND-VALIDATION,API,-,SCR-003,-,P0,API-ADMIN-SETTINGS,REQ-FUNC-016; REQ-FUNC-017; REQ-FUNC-018; REQ-FUNC-024; REQ-FUNC-025; REQ-FUNC-026; REQ-NF-017,"UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",TODO,W07
AUTH-SUPABASE-SETUP,AUTH,-,SCR-005,`/auth/callback`,P0,DB-ACCESS,REQ-FUNC-027; REQ-FUNC-028; REQ-FUNC-066,E2E-MATE-AUTH,TODO,W03
CI-LINT-TYPECHECK-UNIT,CI,-,-,-,P0,DATA-CONTENT-VALIDATION; SEC-BASELINE,REQ-NF-031,CI,TODO,W13
COMP-GLOBAL-A11Y,COMPONENT,-,전 화면,-,P1,,REQ-FUNC-079; REQ-NF-023; REQ-NF-024,E2E-PUBLIC-SMOKE(axe-core),TODO,W12
COMP-GLOBAL-ERROR-PAGES,COMPONENT,기술 Route,"`/404`,`/500`,`/unauthorized`","`src/app/not-found.tsx`, `src/app/error.tsx`",P1,,REQ-FUNC-078,Manual Check,TODO,W01
